國文,英文,數學,社會,自然
13,9,12,6,15
7,7,6,9,14
8,13,12,12,15
13,7,12,8,11
13,9,14,6,11
15,6,7,14,6
8,13,11,13,14
8,10,8,7,15
13,15,11,12,15
12,6,7,6,8
11,12,7,11,12
13,15,15,6,15
10,7,11,14,7
13,13,9,7,10
10,10,13,9,7
8,15,10,14,8
11,11,15,15,14
8,9,11,11,6
14,7,11,10,11
6,6,14,6,8
12,8,14,9,15
9,6,11,7,9
11,14,13,12,11
12,13,8,12,9
9,10,12,12,12
7,6,13,9,14
13,12,9,11,11
13,11,6,11,11
6,13,7,6,13
11,9,11,9,6
6,13,8,13,12
13,8,11,9,9
9,7,9,14,8
10,15,15,8,13
9,13,6,14,6
14,8,8,10,11
10,15,6,8,10
7,10,6,11,11
11,14,12,6,12
6,10,11,6,10
8,7,11,8,13
7,6,11,6,11
15,6,12,15,12
13,6,14,9,10
14,6,6,9,13
13,12,11,6,12
9,8,11,15,8
6,9,8,12,13
15,6,9,12,11
14,15,15,6,15
13,15,13,8,12
14,14,14,7,12
9,14,13,7,7
15,10,11,12,10
11,11,7,14,10
7,8,15,11,11
15,14,10,11,13
15,14,9,13,7
11,10,10,7,8
8,7,6,6,12
9,8,9,8,7
14,8,15,13,6
12,8,15,15,15
6,13,14,12,9
14,14,6,10,11
6,7,15,12,9
13,9,8,7,13
13,9,12,8,10
11,9,6,7,13
15,12,8,10,8
13,11,11,14,9
11,13,12,14,11
14,9,9,6,9
13,15,7,10,8
12,14,7,15,6
9,10,8,13,11
13,13,15,6,13
14,9,12,14,11
7,6,6,13,14
14,14,8,13,7
7,7,15,14,10
8,9,10,6,11
9,9,13,12,8
8,8,7,13,10
13,15,9,9,13
11,13,14,12,8
15,12,10,8,15
12,11,8,7,13
7,8,11,14,9
6,13,10,8,12
9,13,14,9,10
8,7,15,13,14
6,15,9,13,12
15,14,13,7,13
14,8,11,14,13
11,14,9,14,10
13,10,7,9,9
15,10,12,10,13
6,13,15,9,11
6,9,11,10,11
